iter	Passed	Remaining
0	2	2344
1	3	1868
2	5	1679
3	6	1634
4	8	1609
5	9	1598
6	11	1653
7	13	1626
8	14	1598
9	15	1571
10	17	1542
11	18	1521
12	19	1497
13	21	1489
14	22	1476
15	23	1462
16	25	1495
17	27	1489
18	28	1479
19	30	1485
20	31	1478
21	33	1468
22	34	1458
23	35	1450
24	37	1445
25	38	1438
26	39	1438
27	42	1474
28	43	1467
29	45	1459
30	46	1454
31	47	1448
32	49	1441
33	50	1436
34	51	1428
35	53	1421
36	54	1415
37	55	1408
38	57	1423
39	60	1441
40	62	1452
41	63	1447
42	64	1441
43	66	1436
44	67	1436
45	69	1431
46	70	1426
47	72	1445
48	74	1444
49	75	1439
50	77	1435
51	78	1430
52	79	1425
53	81	1422
54	82	1416
55	83	1412
56	85	1407
57	86	1404
58	89	1423
59	90	1421
60	92	1417
61	93	1413
62	94	1408
63	96	1410
64	98	1410
65	99	1407
66	100	1403
67	102	1402
68	104	1411
69	106	1409
70	107	1405
71	108	1401
72	110	1397
73	111	1396
74	113	1394
75	114	1395
76	116	1394
77	117	1391
78	119	1398
79	121	1401
80	123	1401
81	125	1400
82	126	1402
83	128	1401
84	129	1397
85	131	1393
86	132	1390
87	134	1391
88	136	1393
89	137	1389
90	138	1385
91	140	1382
92	141	1378
93	142	1375
94	144	1372
95	145	1368
96	147	1370
97	148	1368
98	150	1373
99	152	1373
100	154	1372
101	155	1370
102	157	1367
103	158	1364
104	159	1363
105	162	1370
106	163	1367
107	165	1367
108	167	1367
109	168	1364
110	169	1360
111	171	1359
112	172	1356
113	174	1353
114	175	1349
115	176	1348
116	178	1345
117	179	1343
118	182	1347
119	183	1346
120	185	1345
121	186	1343
122	187	1339
123	189	1337
124	191	1340
125	193	1343
126	195	1341
127	197	1345
128	200	1350
129	202	1354
130	205	1365
131	207	1362
132	208	1358
133	209	1356
134	211	1353
135	214	1365
136	217	1369
137	220	1376
138	224	1392
139	226	1393
140	229	1397
141	231	1398
142	234	1404
143	235	1401
144	237	1397
145	238	1394
146	240	1392
147	241	1390
148	243	1390
149	248	1406
150	250	1406
151	251	1405
152	254	1407
153	255	1404
154	256	1400
155	264	1433
156	266	1432
157	268	1429
158	269	1425
159	270	1422
160	272	1421
161	279	1445
162	281	1443
163	282	1440
164	284	1437
165	285	1435
166	287	1433
167	291	1443
168	293	1444
169	295	1441
170	296	1438
171	298	1437
172	299	1433
173	301	1430
174	302	1427
175	306	1435
176	308	1434
177	310	1435
178	312	1432
179	313	1428
180	315	1425
181	316	1421
182	318	1419
183	319	1416
184	322	1421
185	324	1420
186	325	1416
187	327	1413
188	328	1410
189	330	1408
190	331	1404
191	332	1401
192	334	1397
193	337	1400
194	339	1399
195	340	1396
196	341	1393
197	343	1391
